,symbol,name,industry,macro,RS,RSM
216,BASML,BANNARI AMMAN SPINNING MILLS LTD,Textiles,Industrials,0.38212126387343814,-181.80595485397797
217,BATAINDIA,BATA INDIA LTD,Footwear,CDGS ,0.653860056263858,-0.3386485477851586
218,BAYERCROP,BAYER CROPSCIENCE LTD,Agrochemicals,Basic Materials,0.9249908011737178,-8.613448870882712
219,BBETF0432,EDELWEISS MUTUAL FUND - BHARAT BOND ETF - APRIL 2032 - GROWTH,Bharat Bond - MF/ETF,Finance,1.3541871559030498,49.97681255623587
220,BBL,BHARAT BIJLEE LTD,Other Electrical Equipment/ Products,Industrials,1.4425902989241803,-5.211281508027987
221,BBOX,BLACK BOX LTD,IT Consulting & Application Software,Information Technology,0.7347552542490003,-1.2194074377589015
222,BBTC,BOMBAY BURMAH TRADING CORPORATION LTD,Tea & Coffee,FMCG ,0.7654795876582953,-23.413647252936453
223,BCG,BRIGHTCOM GROUP LTD,Software Products,Information Technology,-0.8043387288778527,-19.610416181627055
224,BCLIND,BCL INDUSTRIES LTD,CONSUMER FOOD,FMCG ,0.7719958235865154,-24.239940144564407
226,BDL,BHARAT DYNAMICS LTD,Defence,CAPITAL GOODS,0.9962563723012597,10.907646113246884
227,BEARDSELL,BEARDSELL LTD,Containers & Packaging,Industrials,0.07140716799284051,-141.05439118982375
228,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LTD,Packaged Foods,FMCG ,0.704462656654878,32.08240402632758
229,BEDMUTHA,BEDMUTHA INDUSTRIES LTD,IRON & STEEL PRODUCTS,Basic Materials,-0.2452169315833062,-148.91303457972614
230,BEL,BHARAT ELECTRONICS LTD,Defence,CAPITAL GOODS,1.1426945533125448,20.679457352380304
231,BEML,BEML LTD,"Construction, Agricultural & Commercial Vehicles",CAPITAL GOODS,0.8172225292788999,-17.8220500216431
232,BEPL,BHANSALI ENGINEERING POLYMERS LTD,Specialty Chemicals,Basic Materials,1.5967938189266868,50.24345022644761
233,BERGEPAINT,BERGER PAINTS (I) LTD,PAINTS,Industrials,0.8403204563935043,-10.626067852873323
234,BESTAGRO,BEST AGROLIFE LTD,Agrochemicals,Basic Materials,0.4257030919166442,-53.16091066987667
235,BFINVEST,BF INVESTMENT LTD,Holding Companies,Finance,1.1009127168805293,1.4984401861084518
236,BFUTILITIE,BF UTILITIES LTD,Electric Utilities,Utilities,0.2245170187844198,-18.630709475489905
